formula,depth,n_nodes,sigma,noise_model,rmse,rmse_std,bits_of_precision,failure_rate,has_complex_intermediates
x*y,8,35,0.02,matched_pairs,0.06613667537133802,0.01043196966055475,5.68140423418436,0.3475,1
x*y,8,35,0.05,additive_gaussian,0.3275927488419123,0.05971146960054302,3.3730232399711184,0.34308333333333335,1
x*y,8,35,0.05,multiplicative_gaussian,0.4345311095223282,0.20897617989196232,2.965467195664944,0.9191666666666667,1
x*y,8,35,0.05,1_over_f,0.23837948728273592,0.1759794594607185,3.831666567471625,0.34675,1
x*y,8,35,0.05,matched_pairs,0.1672931477106092,0.032418321479167754,4.342548309596996,0.3468333333333333,1
x/y,14,53,0.0001,additive_gaussian,0.0006630566209595935,0.00011481066248296589,12.64748585099285,0.18333333333333332,1
x/y,14,53,0.0001,multiplicative_gaussian,0.0007446817957252592,0.0007652448837544034,12.47999383360173,0.987,1
x/y,14,53,0.0001,1_over_f,0.0005322436668532047,0.0003013188232825784,12.964531045672105,0.18333333333333332,1
x/y,14,53,0.0001,matched_pairs,0.0003936078822031611,9.373428763139489e-05,13.399858812192157,0.18333333333333332,1
x/y,14,53,0.001,additive_gaussian,0.006609029749016636,0.0010234170980331903,9.330251339259844,0.18566666666666667,1
x/y,14,53,0.001,multiplicative_gaussian,0.007256828639526118,0.00699471531865526,9.19535062589866,0.9880833333333333,1
x/y,14,53,0.001,1_over_f,0.005131487743696998,0.0032906443880002002,9.695312669966178,0.18525,1
x/y,14,53,0.001,matched_pairs,0.003824717440811254,0.0009024635802066836,10.119336659434504,0.18366666666666667,1
x/y,14,53,0.005,additive_gaussian,0.033435086207797685,0.005874572909084247,6.991398896989121,0.19083333333333333,1
x/y,14,53,0.005,multiplicative_gaussian,0.031387715953421505,0.03276252790413883,7.082561684558987,0.9874166666666667,1
x/y,14,53,0.005,1_over_f,0.026968224878838196,0.014897789905301268,7.301501171477334,0.18975,1
x/y,14,53,0.005,matched_pairs,0.01932245266873089,0.004816648886749842,7.782483501813377,0.18833333333333332,1
x/y,14,53,0.01,additive_gaussian,0.06712924137966855,0.009913819864206062,5.985820395340222,0.18975,1
x/y,14,53,0.01,multiplicative_gaussian,0.06817558748487988,0.06576544465501616,5.963506506872097,0.9880833333333333,1
x/y,14,53,0.01,1_over_f,0.055787711809337906,0.03392069160327546,6.2528143551334034,0.18933333333333333,1
x/y,14,53,0.01,matched_pairs,0.03979904710005083,0.010082611430973554,6.740027845056514,0.19083333333333333,1
x/y,14,53,0.02,additive_gaussian,0.13244591936603242,0.02212950780765965,5.005430243988983,0.18925,1
x/y,14,53,0.02,multiplicative_gaussian,0.12876635971030015,0.12414459787971906,5.046077901495845,0.9874166666666667,1
x/y,14,53,0.02,1_over_f,0.10317161534895877,0.06025995950869739,5.365787529191841,0.19083333333333333,1
x/y,14,53,0.02,matched_pairs,0.07825248276459265,0.019699935262755798,5.764625208061372,0.189,1
